Area Code,Item_Encoded,Year,Area harvested (ha),Production (t),Yield (kg/ha)
4,2,2019,29203.0,38205.0,1308.3
4,2,2020,22134.0,39307.0,1775.9
4,2,2021,36862.0,64256.0,1743.2
4,2,2022,36462.0,63515.0,1742.0
4,2,2023,37000.0,67000.0,1810.8
4,3,2019,25293.0,17807.76,704.1
4,3,2020,25558.0,17965.9,703.0
4,3,2021,25357.0,17876.49,705.0
4,3,2022,25403.0,17883.38,704.0
4,3,2023,25439.0,17908.59,704.0
4,4,2019,27559.0,250324.0,9083.2
4,4,2020,25643.0,270857.0,10562.6
4,4,2021,30463.0,321672.0,10559.4
4,4,2022,30163.0,318402.0,10556.0
4,4,2023,31000.0,324000.0,10451.6
4,5,2019,17719.0,129363.0,7300.8
4,5,2020,17481.0,131788.0,7538.9
4,5,2021,27082.0,207490.0,7661.5
4,5,2022,26731.0,170508.0,6378.7
4,5,2023,22008.0,155429.38,7062.4
4,12,2019,84070.0,123576.0,1469.9
4,12,2020,86099.0,127757.0,1483.8
4,12,2021,40273.0,65102.0,1616.5
4,12,2022,61952.0,94687.0,1528.4
4,12,2023,80000.0,110000.0,1375.0
4,22,2019,37136.0,464230.0,12500.8
4,22,2020,58942.0,793496.0,13462.3
4,22,2021,59437.0,763382.89,12843.6
4,22,2022,70902.0,762542.69,10754.8
4,22,2023,73628.0,795100.45,10798.9
4,43,2019,0.0,24167.0,0.0
4,43,2020,0.0,24385.0,0.0
4,43,2021,0.0,25691.0,0.0
4,43,2022,0.0,23950.0,0.0
4,44,2019,0.0,47527.6,0.0
4,44,2020,0.0,48139.91,0.0
4,44,2021,0.0,50500.0,0.0
4,44,2022,0.0,47785.09,0.0
4,45,2019,0.0,8247.33,0.0
4,45,2020,0.0,8349.08,0.0
4,45,2021,0.0,8743.15,0.0
4,45,2022,0.0,8290.89,0.0
4,53,2019,3529.0,24319.0,6891.2
4,53,2020,3219.0,15994.0,4968.6
4,53,2021,10077.0,59755.66,5929.9
4,53,2022,9787.0,58035.99,5929.9
4,53,2023,10228.0,60651.09,5929.9
4,58,2019,89593.0,1112927.0,12422.0
4,58,2020,92584.0,993382.0,10729.5
4,58,2021,92645.0,993884.0,10727.9
4,58,2022,92600.0,909792.0,9825.0
4,58,2023,93000.0,1086000.0,11677.4
4,80,2019,38323.0,55000.0,1435.2
4,80,2020,31089.0,34216.0,1100.6
4,80,2021,31329.0,31165.0,994.8
4,80,2022,31605.0,28579.0,904.3
4,80,2023,35000.0,29000.0,828.6
4,83,2019,94910.0,184671.0,1945.7
4,83,2020,140498.0,271776.0,1934.4
4,83,2021,139080.0,264314.0,1900.4
4,83,2022,139000.0,311000.0,2237.4
4,83,2023,127000.0,363000.0,2858.3
4,87,2019,1401.0,2714.0,1937.2
4,87,2020,1437.0,1895.0,1318.7
4,87,2021,979.0,1550.0,1583.2
4,87,2022,1213.0,1913.0,1577.1
4,87,2023,1142.0,1824.12,1597.9
4,89,2019,0.0,533.53,0.0
4,89,2020,0.0,341.86,0.0
4,89,2021,0.0,1495.87,0.0
4,89,2022,0.0,2283.86,0.0
4,91,2019,1691.0,1700.0,1005.3
4,91,2020,1457.0,1298.0,890.9
4,91,2021,1074.0,1139.0,1060.5
4,91,2022,1206.0,1475.0,1223.1
4,91,2023,1000.0,1000.0,1000.0
4,95,2019,0.0,27185.53,0.0
4,95,2020,0.0,15982.86,0.0
4,95,2021,0.0,10721.67,0.0
4,95,2022,0.0,25527.32,0.0
4,98,2019,0.0,1407.67,0.0
4,98,2020,0.0,2348.42,0.0
4,98,2021,0.0,275.27,0.0
4,98,2022,0.0,2636.82,0.0
4,101,2019,0.0,833.25,0.0
4,101,2020,0.0,724.09,0.0
4,101,2021,0.0,1043.0,0.0
4,101,2022,0.0,1050.0,0.0
4,102,2019,2206.0,7926.57,3593.7
4,102,2020,2208.0,8021.47,3633.3
4,102,2021,2207.0,7676.13,3477.7
4,102,2022,2207.0,7730.68,3503.0
4,102,2023,2207.0,7785.23,3527.1
4,103,2019,18343.0,352725.0,19229.4
4,103,2020,19351.0,326006.0,16847.0
4,103,2021,30027.0,533000.0,17750.7
4,103,2022,30470.0,541000.0,17755.2
4,103,2023,34000.0,586000.0,17235.3
4,105,2019,973.0,6006.18,6172.8
4,105,2020,415.0,3001.0,7231.3
4,105,2021,1782.0,11972.44,6718.5
4,105,2022,1825.0,10611.25,5814.4
4,105,2023,1242.0,7385.04,5946.8
4,107,2019,6117.0,29384.09,4803.7
4,107,2020,6396.0,27772.0,4342.1
4,107,2021,8376.0,33560.6,4006.8
4,107,2022,8021.0,32883.72,4099.7
4,107,2023,8715.0,33194.74,3808.8
4,108,2019,3391.0,30759.4,9070.9
4,108,2020,449.0,3775.0,8407.6
4,108,2021,2965.0,24752.98,8348.4
4,108,2022,2402.0,21972.26,9147.5
4,108,2023,2116.0,18960.64,8961.0
4,110,2019,8503.0,61921.74,7282.6
4,110,2020,8259.0,62117.47,7520.9
4,110,2021,8337.0,61892.29,7423.7
4,110,2022,8366.0,61977.16,7407.9
4,110,2023,8321.0,61995.64,7450.6
4,111,2019,2014.0,1730.0,858.9
4,111,2020,5035.0,4300.0,854.0
4,111,2021,4940.0,4200.0,850.3
4,111,2022,4933.0,4137.95,838.7
4,111,2023,4643.0,3841.07,827.2
4,114,2019,67114.0,44132.56,657.6
4,114,2020,69104.0,43855.34,634.6
4,114,2021,80936.0,49161.04,607.4
4,114,2022,88071.0,51525.81,585.1
4,114,2023,83785.0,47145.41,562.7
4,115,2019,7558.0,20.0,2.6
4,115,2020,7716.0,20.0,2.6
4,115,2021,8410.0,11.0,1.3
4,115,2022,7629.0,10.89,1.4
4,115,2023,9856.0,17.88,1.8
4,116,2019,6880.0,48484.61,7047.4
4,116,2020,7104.0,50085.44,7050.1
4,116,2021,6941.0,48924.66,7048.9
4,116,2022,6975.0,49164.9,7048.9
4,116,2023,7007.0,49391.67,7049.3
4,119,2019,41561.0,377817.29,9090.7
4,119,2020,65651.0,596012.04,9078.5
4,119,2021,84517.0,762402.53,9020.7
4,119,2022,84434.0,759490.58,8995.0
4,119,2023,80619.0,723106.76,8969.5
4,123,2019,8076.0,61361.0,7597.9
4,123,2020,6735.0,70012.0,10395.2
4,123,2021,10160.0,102560.0,10094.5
4,123,2022,10060.0,101459.0,10085.4
4,123,2023,11602.0,106311.7,9163.4
4,124,2019,2473.0,6966.0,2816.8
4,124,2020,2245.0,18020.0,8026.7
4,124,2021,4003.0,32000.0,7994.0
